S.No,Headline,Source,Link,Category
1,"'Careless, speculative': MEA says PM Modi didn't call Putin after US tariff move; pans Nato chief's remarks",TOI,https://timesofindia.indiatimes.com/india/careless-speculative-mea-says-pm-modi-didnt-call-putin-pans-nato-chiefs-remarks/articleshow/124156379.cms,India
2,"'One India': Canada gets clear message from Delhi; Khalistan threat, extraditions in focus",TOI,https://timesofindia.indiatimes.com/india/one-india-canada-gets-clear-message-from-delhi-khalistan-threat-extraditions-in-focus/articleshow/124155939.cms,India
3,Sonam Wangchuk arrested: Action comes after violent protest in Ladakh,TOI,https://timesofindia.indiatimes.com/india/sonam-wangchuk-arrested-action-comes-after-violent-protest-in-ladakh-nsa/articleshow/124155582.cms,India
4,"'Not for Maharashtra': Shrikant Shinde slams MNS, UBT alliance; says tie-up is 'family politics'",TOI,https://timesofindia.indiatimes.com/india/not-for-maharashtra-shrikant-shinde-slams-mns-ubt-alliance-says-tie-up-is-family-politics/articleshow/124155394.cms,India
5,"'Paper chor': Rahul Gandhi's new attack on BJP after 'vote chori' charge; points to exam leaks, unemployment",TOI,https://timesofindia.indiatimes.com/india/paper-chor-rahul-gandhis-new-attack-on-bjp-after-vote-chori-charge-points-to-exam-leaks-unemployment/articleshow/124154890.cms,India
6,No relief for Rahul: HC junks plea in Sikh row; Varanasi court to hear case,TOI,https://timesofindia.indiatimes.com/india/no-relief-for-rahul-hc-junks-plea-in-sikh-row-varanasi-court-to-hear-case/articleshow/124153639.cms,India
7,'Fake' encounter case: SC stops cremation of Maoist leader Katha Ramchandra Reddy; directs body to be preserved,TOI,https://timesofindia.indiatimes.com/india/fake-encounter-case-sc-stops-cremation-of-maoist-leader-katha-ramchandra-reddy-directs-body-to-be-preserved/articleshow/124152284.cms,India
8,"Arvind Kejriwal condemns accusations against Sonam Wangchuk, says country's progress harassed by 'entire machinery' of Central govt",TOI,https://timesofindia.indiatimes.com/india/arvind-kejriwal-condemns-accusations-against-sonam-wangchuk-says-countrys-progress-harassed-by-entire-machinery-of-central-govt/articleshow/124152004.cms,India
9,"Poll blitz: PM Modi sends Rs 10,000 to 75 lakh women in Bihar; all you need to know about the scheme",TOI,https://timesofindia.indiatimes.com/india/poll-blitz-pm-modi-sends-rs-10k-to-75-lakh-women-in-bihar-all-you-need-to-know-about-the-scheme/articleshow/124151719.cms,India
10,Anti-Hindi showdown in Bengaluru: Protesters storm MHA promotional event attended by 6 MPs; over 40 held,TOI,https://timesofindia.indiatimes.com/india/anti-hindi-showdown-in-bengaluru-protesters-storm-mha-promotional-event-attended-by-6-mps-over-40-held/articleshow/124150517.cms,India
11,'Delhi now on phone with Moscow': Nato chief claims PM asked Putin to explain strategy on Ukraine; big claim on tariff impact,TOI,https://timesofindia.indiatimes.com/india/delhi-now-on-phone-with-moscow-nato-chief-claims-pm-asked-putin-to-explain-strategy-on-ukraine-big-claim-on-tariff-impact/articleshow/124148311.cms,India
12,"A sentinel of the skies: After 62 years in service, IAF bids farewell to MiG-21; iconic fighter jet takes final bow",TOI,https://timesofindia.indiatimes.com/india/a-sentinel-of-the-skies-after-62-years-in-service-iaf-bids-farewell-to-mig-21-iconic-fighter-jet-takes-final-bow/articleshow/124141813.cms,India
